,sequence,labels,scores
0,Best coffee on the planet comes from this machine!,"['usablity', 'durability', 'not usability', 'not durability']","[0.7473769187927246, 0.2195524424314499, 0.017248762771487236, 0.01582188718020916]"
1,"Unexplainable engineering decision prevents you from making coffee when the device decides so.""Descale"" light just shows up, and there is no way to make your coffee when you are in a rush before leaving to work.Descale procedure is mandatory and takes up to 40 minutes","['not usability', 'not durability', 'usablity', 'durability']","[0.6385934352874756, 0.258540540933609, 0.06195283308625221, 0.04091327637434006]"
2,"Das hier ist nun unser dritter Vollautomat. Der erste war ein Saeco, der nach einigen Jahren seinen Geist aufgegeben hat. Dann sind wir auf DeLonghi umgestiegen, mit der wir nun 7 Jahre recht gut gefahren sind. Am Ende hat aber auch die den Geist aufgegeben. Also musste eine neue Maschine her.Nach Recherche verschiedener Tests und Besprechungen bin ich auf diese Maschine hier gestoßen. Die Argumente klangen gut, also habe ich mir die Maschine bestellt. Nun ist sie seit einer Woche im Einsatz und wir sind sehr zufrieden!Folgende Merkmale stechen aus meiner Sicht heraus:- Der Kaffee schmeckt super. Im Vergleich zu den beiden alten Maschinen wirklich nochmals ein Sprung nach vorne! Das hätte ich nicht erwartet- eine relativ schlanke Maschine- die Optik ist wirklich schön- die Maschine ist *etwas* leiser als die alte Delonghi- der Kaffee ist schön heiß und die Temperatur kann auch verändert werden- die Handhabung wurde im Vergleich zu den alten Delonghis nochmals verbessert- Mitgeliefert wird eine Kartusche, die man zum Enthärten in den Wassertank einsetzen kann. Gut durchdacht! Was ich echt bemerkenswert finde, ist die Tatsache, dass die Kartusche standardmäßig dabei ist. Andere Firmen würden die Kartusche als teures Zubehör verkaufen.Also: Ich bin rundum zufrieden.Wenn diese Rezension hilfreich war: bitte gerne unten auf ""nützlich"" klicken :-)","['durability', 'usablity', 'not durability', 'not usability']","[0.29119786620140076, 0.2582399547100067, 0.22585542500019073, 0.22470679879188538]"
3,"+ Kaffe und Crema sehr gut+ Bedienung und Reinigung leicht+ 1 Stk. Wasserfilter inkl.+ recht schöne Optik und angenehme Tasten- Abstellfläche schnell verkratzt- ungleichmäßige Kaffeausgabe bei 2 TassenEs stimmt, was hier schon erwähnt wurde - die Maschine braucht viel Wasser da sie viel spült.Das hat sicher auch sein Gutes aber die Auffangschale ist recht schnell voll obwohl wir zum Spülen eine Tasse unterstellen. Ich weiß gar nicht wie das kommt.Allerdings - wird die Auffangschale öfter geleert, so wird das Wasser dort auch nicht eklig sondern macht immer einen frischen Eindruck. :-)Ich liebe den Fronteinschub für den Wassertank. Viel besser zu bedienen als bei meiner alten Maschine (hinten) - jetzt fülle ich das Wasser viel lieber nach.Für die Tassen-Ablage hätte man ein besseres Blech verwenden müssen. Die billige Beschichtung ist sofort verkratzt.Schade für eine sonst so gelungene Maschine denn das kostet sie u.a. den 5. Stern.Die Mahlwerk-Einstellung ist nicht gut durchdacht denn bei einer Einstellung kleiner ""3"" reicht der Pumpendruck evtl. nicht mehr aus und der Kaffee wird tropfenweise ausgegeben. Den Mahlgrad sollte man daher vorsichtig einstellen! (nur während des Mahlens verstellen) Ich empfehle für eine gute Crema knapp über ""3"" einzustellen.Auch doof dinde ich, dass man die tolle 2x-Taste nur für die ersten beiden Kaffegrößen verwenden kann.Damit das auch für die Größeren funktioniert müsste die Maschine halt ein zweites Mal mahlen. Verstehe nichtwieso man das nicht so programmiert hat.Auch stellen wir zunehmend fest dass 2 Tassen nicht mit der gleichen Menge befüllt werden was etwas lästig ist. (s. Bild)Nach 7 Wochen mit eingesetztem Wasserfilter wollte sie erstmals entkalt werden. Ein recht Zeitaufwendiger Vorgang.Aber es gibt eben keine Maschine die keine Mankos hat, wenn man sich in den Rezensionen umsieht.FAZIT:Ich finde diese Maschine ist insgesamt gut gelungen.Ich mag sie und sie ist eine Kauf-Empfehlung trotz der kleinen ""-"" wert.Danke für's Lesen!","['durability', 'usablity', 'not durability', 'not usability']","[0.2879287898540497, 0.25974738597869873, 0.22702820599079132, 0.22529560327529907]"
4,"Très mauvaise expérience sur cette machine.Machine achetée en mars 2020.Nous l'avons toujours très bien entretenue, détartrage régulier etc.... ( sachant que nous avons un adoucisseur d'eau).La cafetière montre des signes de panne au bout de deux mois. ( en défaut)Nous avons fait tous les nettoyages kdemandés.rien n'y a fait. La cafetière se met en défaut direct.Nous avons décidé de d'envoyer la cafetière à Amazon.Au bout de trois semaines, nous recevons la machine ce jour ( dans un état lamentable , pleines de traces de doigts de je ne sais pas quoi , on se demande ce qu'ils ont fait avec!!!!!!) .Nous la branchons pour savoir si elle fonctionne à nouveau : PAS DU TOUT !!!!! la panne est toujours là !!!le courrier d'Amazon stipule qu'ils ont effectué un détartrage complet et que le prochain renvoi sera soumis à un devis atelier ( déjà ils nous prennent pour des c.....)Je suis extrêmement déçu d'une de la machine ( Delonghi c'est censé être une bonne marque) et d'Amazon pour leur service après vente. Je ne recommande en aucun cas ni Amazon ni Delonghi !!!on s'est fait avoir une fois mais c'est la dernière fois!","['durability', 'usablity', 'not usability', 'not durability']","[0.27120035886764526, 0.24456702172756195, 0.24304363131523132, 0.24118901789188385]"
5,"Purchased this machine less than 4 weeks ago, first impression was it is a good looking machine, it did take about an hour to get up and running going through all the settings, water hardness etc but once I had gone through a few cups of it did make a good cup of coffee.Things started going wrong when after only 12 days (at about 5 cups a day that’s 60 cups) it called for a descale, this process can be paused temporarily but I did it anyway, this is a lengthy process of almost an hour of which you need to be in attendance for refilling tank and emptying of container which had to be balanced under outlets, but once done away I went again making nice coffee, then today only 2 weeks after the last descale it called for it to be done again, according to Delonghi site descaling should be about every 3 months or 300 cups of coffee not twice in 1 month and about 120 coffee’s.I did once have a leak from somewhere which flooded my work surface too much to be from the drip tray which has to be emptied on a regular basis, as this only happened the once I was not too concerned about it, the constant descaling however is a problem, how long is it going to last being descaled twice a month at nearly £500 was not prepared to take the risk and have returned it under Amazon’s 30 day no quibble refund.If it was not for the descaling issue I would have been very happy with this machine, perhaps another one wouldn’t have the same issue mine did but I don’t intend getting another one of these so shall never find out.","['not durability', 'durability', 'not usability', 'usablity']","[0.4121769666671753, 0.23165974020957947, 0.1946527510881424, 0.16151060163974762]"
6,Wir haben uns für diese De Longhi Maschine entschieden nachdem wir jetzt 12 Monate damit zugebracht haben uns mit Phillips(Saeco) rumzuärgern.Wir hatten 2 von den Phillips vom selben Typ (3510/00)Die erste kam verdreckt und gebraucht an und die zweite wollte ständig die Brühgruppe gereinigt haben (wurde immer ordentlich erledigt) und hörte sich außerdem sehr schlimm an beim zubereiten.Dank Amazon war der Umtauch der Phillips-Geräte kein Problem.Wie immer toller Kundenservice.Nun kam uns mit der Ecam 350.15 die Erlösung^^.Die Ecam kostet etwa 20€ mehr als die Phillips und ist aber von der Haptik und Qualitätsanmutung um Längen besser.Der Kaffee wird feiner gemahlen und ist auch stärker gebrüht.Die Maschine ist um die Hälfte bestimmt leiser (Die Phillips klapperte und vibrierte) als die Alte und reinigt sich auch definitiv besser.Das Wasser muss man vorne einfüllen was ich bedeutend besser finde als oben.Der Bohnenbehälter oben hat eine Gummidichtung damit das Aroma erhalten bleibt.Der Kaffee ist insgesamt aromatischer (gleiche Bohnen) wie vorher.Wir trinken seit dem Umstieg wesentlich mehr Kaffee und auch Milchvariationen da die Milchschaumdüse viel besser zu reinigen ist.Man merkt einfach das der Automat vom italienischen Marktführer kommt.Würde ich sofort wieder kaufen.Klare Kaufempfehlung!!!,"['durability', 'usablity', 'not durability', 'not usability']","[0.27793246507644653, 0.25067248940467834, 0.23714064061641693, 0.23425441980361938]"
7,"nach weniger als 3!! Monaten ist die Maschine reif für die Mülltonne. Es krachte laut im Mahlwerk und die Maschine gab Plastikteile in den Auffangbehälter. So etwas habe ich noch nie erlebt, dabei habe über 15 Jahre immer Kaffeevollautomaten besessen. Bin zur Zeit von DeLonghi und Kaffeevollautomaten absolut bedient!!","['usablity', 'durability', 'not durability', 'not usability']","[0.40305447578430176, 0.27994853258132935, 0.17004702985286713, 0.14695000648498535]"
8,"Die wichtigste Info vorweg: Ich bin kein Experte, was Kaffeemaschinen angeht. Ich trinke aber gerne guten Kaffee und hatte bislang Erfahrung mit Pad-System (Senseo, Nespresso und Dolce Gusto). Nun wollte ich endlich mal etwas Vernünftiges haben, um frischen Morgenkaffee und den einen oder anderen Espresso / Latte zuzubereiten. Ich bin fündig geworden in der Dinamica.Die Einstellungen sind kinderleicht (Wasserwärme, Kaffeestärke, Mahlgrad) und ich genieße jeden einzelnen Kaffee am morgen. Und ja, das Blech zerkratzt schnell und ja, die Maschine spült beim An- und beim Abstellen einmal durch. Ersteres ist mir egal, Letzteres finde ich klasse, denn so bleibt alles innen sauber.Für den Siebträgerspezi ist die Maschine höchstwahrscheinlich nichts, aber für den Kaffetrinker am Morgen, der keine aufwändigen Milchzubereitungen wünscht, ist die Maschine zu 100% empfehlenswert. Ich freue mich jeden Morgen auf den Kaffee, also lohnt sie sich für mich :)","['durability', 'usablity', 'not usability', 'not durability']","[0.33738070726394653, 0.25105607509613037, 0.20583316683769226, 0.20573006570339203]"
9,"I like it but I’m not impressed with it. I have more than one DeLonghi coffee machine’s and this is not as I expected. I use the same coffee every day. The taste is not the same, i find ground coffee at the bottom of my cup, the taste is not the same compared to Eletta Cappuccino and as not as strong, uses more coffee for a shot and it take longer to be done. You need to press more buttons to make your coffee. I just bought this as I wanted a smaller coffee machine without the milk recipient. My favourite one is still DeLonghi Eletta Cappuccino and I wouldn’t change it for any other one.","['not durability', 'not usability', 'usablity', 'durability']","[0.4559212327003479, 0.41098466515541077, 0.09902488440275192, 0.03406920284032822]"
