,sequence,labels,scores
0,lower background music in video,"['video', 'usability', 'not usability']","[0.8808555603027344, 0.11091899871826172, 0.008225448429584503]"
1,hi thanks for the feedback we will take note have a great night,"['usability', 'video', 'not usability']","[0.4617786407470703, 0.42859557271003723, 0.10962575674057007]"
2,where would this machine rank in delonghi line up i have seen it on a very good price in canada and am wondering what it would be comparable to,"['usability', 'video', 'not usability']","[0.6525859236717224, 0.2678089737892151, 0.07960507273674011]"
3,how do you descale this machine,"['usability', 'not usability', 'video']","[0.5930508375167847, 0.2821333706378937, 0.12481578439474106]"
4,how would you remove the coffee bean if you want to change your coffee i have oily coffee bean,"['usability', 'not usability', 'video']","[0.6998592019081116, 0.15952913463115692, 0.1406116783618927]"
5,how much this machine,"['usability', 'video', 'not usability']","[0.7283195853233337, 0.16280783712863922, 0.10887257009744644]"
6,if it s on sale you can get it now for around 1000dollar plus tax,"['video', 'usability', 'not usability']","[0.4061563313007355, 0.3998439610004425, 0.19399969279766083]"
7,thanks gail your amazing coffee review gave me enough confidence to grab this machine and it is great,"['usability', 'video', 'not usability']","[0.8743757009506226, 0.10253685712814331, 0.023087503388524055]"
8,dear gail you are sooooo perfect on what you bring to u thanks you made me choose the perfect machine when i wa in france few year back and now i am in canada you are still the reference love your natural and sen of humor thanks for everything good job,"['video', 'usability', 'not usability']","[0.45449382066726685, 0.4289383292198181, 0.11656787991523743]"
9,moze prevod na hrvatskom,"['video', 'usability', 'not usability']","[0.6951779127120972, 0.20529425144195557, 0.09952781349420547]"
10,do you recommend nespresso machine,"['usability', 'video', 'not usability']","[0.7578587532043457, 0.1802971065044403, 0.06184408813714981]"
11,when your channel go for 4k video,"['video', 'usability', 'not usability']","[0.8423629999160767, 0.14196351170539856, 0.015673479065299034]"
12,smith lim why do u even need a 4k video,"['video', 'not usability', 'usability']","[0.6419437527656555, 0.2859882712364197, 0.0720679834485054]"
13,of course thank you,"['usability', 'video', 'not usability']","[0.5243679881095886, 0.3962119519710541, 0.07942011207342148]"
14,where can i get some of those snazzy double walled coffee glass,"['usability', 'video', 'not usability']","[0.7241619229316711, 0.17852924764156342, 0.09730883687734604]"
15,john fitzroy from u of course d,"['usability', 'video', 'not usability']","[0.49047422409057617, 0.41029271483421326, 0.09923306107521057]"
16,new video every day subscribe over 100 crew review watch visit u online thanks for watching all our video folk you are the best,"['video', 'usability', 'not usability']","[0.8532495498657227, 0.12280150502920151, 0.0239489134401083]"
17,can you turn off the descale light on this and other superautomatic machine i live where you do not need to descale,"['usability', 'not usability', 'video']","[0.6926089525222778, 0.17815443873405457, 0.12923669815063477]"
18,stefan sigfinnsson you are not able to disable the descale light on this or other superautomatics built in from the factory,"['not usability', 'usability', 'video']","[0.7024415731430054, 0.21617114543914795, 0.08138727396726608]"
19,you would think an italian company would have named it perfetta,"['not usability', 'usability', 'video']","[0.4838685691356659, 0.2668178975582123, 0.24931345880031586]"
20,silents hehe d,"['not usability', 'usability', 'video']","[0.47292640805244446, 0.34928572177886963, 0.1777878701686859]"
21,paulo roberto souza you know it,"['video', 'usability', 'not usability']","[0.4574761390686035, 0.38266149163246155, 0.15986236929893494]"
22,jak uruchomi ekspres eby tak spieni mleko,"['usability', 'video', 'not usability']","[0.4922773241996765, 0.3747776746749878, 0.13294506072998047]"
23,the milk where,"['usability', 'video', 'not usability']","[0.41941025853157043, 0.39172235131263733, 0.18886734545230865]"
24,hi thanks for this nice vedio i do not have this accessory for making milk foam doe this accessory come with the machine or we can buy it separately from the company,"['video', 'usability', 'not usability']","[0.8778964877128601, 0.09496639668941498, 0.027137067168951035]"
25,thankyou,"['usability', 'video', 'not usability']","[0.5326007008552551, 0.3839258849620819, 0.0834733247756958]"
26,amazing video guy can i have you over to check mine lol i wonder if you can identify what is the problem with mine it is about 5 year old i turned it off and unplugged when wa going away when i returned and plug it back the coffee started to drip instead of pour eg it like making espresso instead of coffee feel there is no water pressure take forever to make s full cup and the quantity of water seems smaller that it shall be repair no everywhere in toronto about three week wait time is there o anything i can try myself i cleaned the machine is removable part and the grinder,"['video', 'not usability', 'usability']","[0.7116101980209351, 0.19865286350250244, 0.08973687142133713]"
27,finally a good repair video on this machine could not figure out how to pull the infuser out until i watched i never knew the machine had to run thru the power off cycle i took my infuser plate off and cleaned the stainless plate with oven cleaner the caked on coffee wa causing an off flavor in my coffee,"['video', 'usability', 'not usability']","[0.8600319027900696, 0.11474212259054184, 0.025225959718227386]"
28,awesome guy i wa just checking to see what i could use at home for de scaling vinegar supposedly and now i am tearing my machine apart because the milk spout wa gross thanks,"['not usability', 'usability', 'video']","[0.40597906708717346, 0.3740726411342621, 0.21994830667972565]"
29,my machine is spout cracked and leak this video is exactly what i needed to fix my machine the nearest repair shop is a 2 hr drive each way i enjoy repairing my machine it is a steady performer for many year i make many cappuccino each day and had the cleaning down well i now feel confident to replace my door w the spout in place thanks guy time for a kahlua capachino,"['video', 'usability', 'not usability']","[0.8937785029411316, 0.09804834425449371, 0.00817317795008421]"
30,thank you sooo much for that video it help me every time i need to repair or clean my coffee machine d,"['video', 'usability', 'not usability']","[0.8549470901489258, 0.13521113991737366, 0.009841803461313248]"
31,so helpful we were gifted this machine but it kept saying the coffee bin wa full your video helped me know how to clean it and get it to work thanks,"['video', 'usability', 'not usability']","[0.8406774401664734, 0.1526506096124649, 0.006671947427093983]"
32,thank you for your video,"['video', 'usability', 'not usability']","[0.9457436800003052, 0.050809141248464584, 0.003447167808189988]"
33,liked your video very clear instruction easy to follow and must do once in a while thank you,"['video', 'usability', 'not usability']","[0.793364405632019, 0.20211119949817657, 0.004524342715740204]"
34,i have the same machine you show in the video,"['video', 'usability', 'not usability']","[0.9167904853820801, 0.07716231048107147, 0.006047173868864775]"
35,i can not take the infusion piece i do not know what going on,"['not usability', 'usability', 'video']","[0.8290439248085022, 0.1293475478887558, 0.0416085310280323]"
36,thank you for help me you make a beautiful job,"['video', 'usability', 'not usability']","[0.4714074730873108, 0.4697250425815582, 0.05886748060584068]"
37,this helped u out a lot it is very empowering to be able to fix these thing yourself so that we do not have to keep throwing away and re buying,"['usability', 'video', 'not usability']","[0.7569788694381714, 0.20242834091186523, 0.040592823177576065]"
38,could you help me out with locating a button assembly with the ribbon cable where can i find those i seem to have faulty button,"['usability', 'not usability', 'video']","[0.6669844388961792, 0.2459210604429245, 0.08709447830915451]"
39,best maintenance video ever saved my but on more than one occasion thanks gentleman,"['video', 'usability', 'not usability']","[0.8856244683265686, 0.1073819100856781, 0.00699360528960824]"
40,i reference this video every time i take apart our machine for a full clean even when i think i know how all the part go together i will find myself with a left over screw lol thanks for saving u hundred in service call,"['video', 'usability', 'not usability']","[0.9234611392021179, 0.06719626486301422, 0.009342547506093979]"
41,great video thanks guy my machine is not recognizing the water spout keep on saying insert water spout any one else have this issue would love some suggestion how to fix,"['video', 'usability', 'not usability']","[0.8000328540802002, 0.12395159900188446, 0.07601550966501236]"
