,label,score
0,POSITIVE,0.9521612524986267
1,NEGATIVE,0.9979565143585205
2,NEGATIVE,0.8125565648078918
3,NEGATIVE,0.9886099100112915
4,POSITIVE,0.9913944602012634
5,POSITIVE,0.9998133778572083
6,NEGATIVE,0.8749641180038452
7,POSITIVE,0.9685320258140564
8,NEGATIVE,0.9996867179870605
9,NEGATIVE,0.9980169534683228
10,POSITIVE,0.9998732805252075
11,NEGATIVE,0.9218941330909729
12,POSITIVE,0.9969622492790222
13,POSITIVE,0.9970191717147827
14,NEGATIVE,0.9995782971382141
15,NEGATIVE,0.9664354920387268
16,POSITIVE,0.9988728165626526
17,NEGATIVE,0.9952357411384583
18,POSITIVE,0.9729833602905273
19,NEGATIVE,0.9973514080047607
20,POSITIVE,0.8969089388847351
21,POSITIVE,0.9982837438583374
22,NEGATIVE,0.995307981967926
23,POSITIVE,0.9998410940170288
24,POSITIVE,0.9996812343597412
25,NEGATIVE,0.9991471767425537
26,POSITIVE,0.9896350502967834
27,NEGATIVE,0.9992316961288452
28,NEGATIVE,0.9991426467895508
29,NEGATIVE,0.998568058013916
30,NEGATIVE,0.9994645714759827
31,POSITIVE,0.9993191957473755
32,NEGATIVE,0.9979386925697327
33,NEGATIVE,0.9967369437217712
34,NEGATIVE,0.9516149163246155
35,NEGATIVE,0.98155677318573
36,NEGATIVE,0.9950307607650757
37,NEGATIVE,0.9981836676597595
38,NEGATIVE,0.9954566955566406
39,POSITIVE,0.998350977897644
40,POSITIVE,0.6534405946731567
41,NEGATIVE,0.972598671913147
42,POSITIVE,0.9998359680175781
43,NEGATIVE,0.6244360208511353
44,POSITIVE,0.9998737573623657
45,NEGATIVE,0.8934836387634277
46,POSITIVE,0.768765926361084
47,POSITIVE,0.9959612488746643
48,POSITIVE,0.9952281713485718
49,POSITIVE,0.6014845967292786
50,NEGATIVE,0.9984096884727478
51,NEGATIVE,0.968914270401001
52,NEGATIVE,0.9338990449905396
53,POSITIVE,0.7431488633155823
54,NEGATIVE,0.524267852306366
55,NEGATIVE,0.7628211379051208
56,POSITIVE,0.7655026912689209
57,NEGATIVE,0.9833076000213623
58,NEGATIVE,0.9989429116249084
59,NEGATIVE,0.9953548908233643
60,POSITIVE,0.999579131603241
61,POSITIVE,0.9998352527618408
62,NEGATIVE,0.9888338446617126
63,NEGATIVE,0.9917009472846985
64,NEGATIVE,0.9980485439300537
65,POSITIVE,0.9997783303260803
66,POSITIVE,0.8826601505279541
67,NEGATIVE,0.9970044493675232
68,POSITIVE,0.9985188841819763
69,NEGATIVE,0.99347984790802
70,NEGATIVE,0.9985382556915283
71,NEGATIVE,0.9951837658882141
72,POSITIVE,0.9996199607849121
73,POSITIVE,0.9997346997261047
74,POSITIVE,0.8962275981903076
75,POSITIVE,0.9959233999252319
76,POSITIVE,0.9996199607849121
