,sequence,labels,scores
0,Ok,"['usablity', 'durability', 'not durability', 'not usability']","[0.7692258358001709, 0.16666904091835022, 0.0406985729932785, 0.023406583815813065]"
1,Very good,"['usablity', 'durability', 'not durability', 'not usability']","[0.8824003338813782, 0.09725416451692581, 0.010753530077636242, 0.009591935202479362]"
2,"Nach 4 Jahren im Dauereinsatz muss ich nun mal eine Rezension für unsere liebgewonnene DeLonghi schreiben.Der Vollautomat ist bei uns täglich mehrmals im Einsatz und hat uns noch nie enttäuscht. Ob Espresso, Lungo oder Latte Macchiato, alles gelingt. Wir haben auch immer wieder neue Bohnen und Marken ausprobiert und hatten mit keiner irgendwelche Beanstandungen in der Verarbeitung und Zubereitung. Geschmacklich muss jeder seine Lieblingsmarke selbst herausfinden.Da wir nicht immer eine Kaffee-Milchkombination trinken haben wir uns bewusst für eine Düse zum Milchaufschäumen und gegen einen Milchvorratsbehälter entschieden.Man muss sich daran gewöhnen, aber dann gelingt der Schaum immer und kinderleicht.Wir haben die Maschine bisher immer mit dem Original Entkalker von DeLonghi gereinigt und konnten deswegen kaum Kalkspuren feststellen. (Ein paar wenige haben wir am oberen Deckel des Wasserbehälters)Den einzigen Verschleiß merken wir daran, das bei der normalen Kaffeezubereitung etwas Wasser aus der Aufschäumdüse heraustritt.Mit deutlich teureren Geräten hatten wir hier in kürzerer Zeit schon weit mehr Probleme.Für uns ist der Kaffeevollautomat ein Gebrauchsgegenstand. Deswegen stören uns Gebrauchsspuren auch nicht.Allerdings muss ich hervorheben, das die metallene Abdeckung durch die darauf stehenden Kaffeetassen sehr schnell verkratzt wird, was manche durchaus stören kann.UPDATE:Neulich ist es uns passiert dass der Kaffee nur noch getröpfelt ist und weit weniger aus den zwei Düsen lief. Nach einiger Recherche im Internet die Lösung. Das Entkalkungsprogramm führt nicht durch den Brühkopf.Um diesen zu entkalken muss man die Entkalkungslösung einfüllen und dann die Taste für das Entkalkungsprogramm nur kurz antippen. Es erfolgt nun eine „Spülung“ durch die Brüheinrichtung. Nach zwei mal war der Brühkopf wieder frei.Nach diesem Spülen mit Entkalker sollte man dies natürlich auch mit reinem Wasser ein paar mal durchführen damit keine Reste des Entkalkers zurück bleiben.Fazit: Ein zuverlässiger täglicher Begleiter. Klare Kaufempfehlung. Ein Stern Abzug für die „tropfende“ Düse und die zerkratzte Abdeckung.PS: Ich nehme mir viel Zeit die Produkte ausführlich zu testen und meine Erfahrungen als Rezension wiederzugeben.","['durability', 'usablity', 'not durability', 'not usability']","[0.29180291295051575, 0.2424178123474121, 0.23328876495361328, 0.23249053955078125]"
3,"Une aventure un peu longue avec Amazon pour la prise en charge de cette machine qui est tombée en panne en seulement  au bout de 1 an, je renvois au SAV qui me dit machine non réparable, Amazon me dit on change en neuf!!! cool mais non !plus de nouvelles pour ensuite me dire ""on ne peut pas vous la remplacer car l'article à un problème, il retombera en panne""Conclusion: machine sympa pendant 1 an ensuite le moulin se casse et la galère du SAV commence mais à l'air de fonctionner.Le plus drôle dans tout cela c'est que Amazon ne remplace pas car machine pas fiable mais on peut lire sur leur site concernant cette article ""Amazone choice""!!! dingue non? ils la recommande!!","['not durability', 'usablity', 'durability', 'not usability']","[0.30709317326545715, 0.2673046290874481, 0.2298363894224167, 0.19576576352119446]"
4,"Wir nutzen die gleiche Maschine schon seit Jahren ohne Probleme in der Firma, da habe ich beim günstigen ""Tagesangebot"" einfach zugreifen müssen :-) Neben der Robustheit gefällt mir sehr gut, dass man die Maschine wirklich sehr leicht reinigen kann, das betrifft auch die Brühgruppe, die man mit einer Hand ausbauen kann. Die Qualität des zubereiteten Kaffees ist gleichbleibend gut, hängt aber hauptsächlich von der verwendeten Kaffeesorte ab. Empfehlen kann ich da den ""Espresso Cremoso"" von Lavazza, der schmeckt mir aus der Maschine am besten.Was man wissen sollte: Es kommt schon mal vor, dass man beim Einsetzen des Wassertanks oder beim Reinigen der Tropfschale ein wenig kleckert; da der Maschinenboden aber teilweise aus verschraubtem Blech besteht, fängt der an zu rosten. In unserer Firma hat die Maschine einen unschönen Rostfleck auf der Arbeitsplatte hinterlassen, daher gleich beim Aufstellen Küchentücher oder ähnliches unterlegen, damit Wasser unter der Maschine heraus und verdunsten kann.Was mir gar nicht gefällt und daher auch einen Stern Abzug bekommen hat, ist die ""Weiterentwicklung"", die der Hersteller der Maschine angedeihen lassen hat. Sie entspricht nämlich in einem kleinen aber wichtigem Detail nicht mehr dem Produktfoto; statt der Taste zum Einfüllen gemahlenen Kaffees (rechts unten am Bedienteil) findet sich jetzt eine ""ECO""-Taste. Diese ist ziemlich sinnlos, denn selbst im ECO-Modus muss man maximal ein paar Sekunden länger auf den Kaffee warten. Ein Abschalten bringt unmittelbar nichts, weil die Maschine ja trotzdem das Wasser erhitzen muss, daher wäre eine ECO-Grundeinstellung (permanent an bzw. aus) deutlich sinnvoller gewesen. Dafür kann man jetzt aber keinen gemahlenen Kaffee mehr verwenden! Theoretisch geht es schon, jedoch nimmt man jetzt die Einstellung am Regler für die Kaffeemenge vor, verstellt damit aber natürlich die Kaffeemenge, wenn man wieder auf Bohnen wechseln möchte. Was hat DeLonghi da nur geritten? Bitte wieder ändern!","['durability', 'usablity', 'not usability', 'not durability']","[0.2904142737388611, 0.2535136640071869, 0.2286963313817978, 0.22737571597099304]"
5,"Ich war mit dem Automaten zufrieden. Ärgerlich ist, dass er 2 Monate nach Ablauf der Garantiezeit defekt ist: Die Elektrik spinnt und manchmal funktionieren die Knöpfe, manchmal tut sich gar nichts. Ich habe den Automaten nicht übermäßig oft beansprucht und stets regelmäßig gepflegt und gereinigt.","['durability', 'usablity', 'not durability', 'not usability']","[0.45063644647598267, 0.2802048623561859, 0.14768077433109283, 0.12147794663906097]"
6,"Je possède cette cafetière Delonghi, en service dans une résidence secondaire, où elle a servi environ 1 semaine tous les  mois pendant 2 ans et demi pour 5 à 6 cafés par jour. Correctement entretenue et détartrée avec les produits de la marque, elle s'est autodétruite comme par hasard à 2 ans et demi, avec l'infuseur qui est descendu plus bas que la normale par le moteur, entrainant la casse de plusieurs parties en plastique, avec par ailleurs une erreur software insurmontable. Cette machine relève d'une garantie de 3 ans (un an d'extension sur ce modèle) ou 8000 cafés chez Delonghi. Amazon considère qu'ils la garantissent 2 ans seulement. Achetée chez Amazon, Delonghi répète que Amazon est seul responsable de la garantie, tandis qu'Amazon refuse de prendre en charge car les deux ans sont écoulés, sans respecter la garantie constructeur. Au total, marque à fuir si vous achetez chez Amazon, et comportement honteux de la part d'Amazon. 270 € à la déchetterie.","['durability', 'usablity', 'not durability', 'not usability']","[0.34671056270599365, 0.3081013858318329, 0.17897501587867737, 0.1662129908800125]"
7,"Da meine Tchibo Pad-Maschine (50 Euro!) nach ca. 8 Jahren in den verdienten Ruhestand verabschiedet wurde, sollte es nun ein Vollautomat sein. Der erste Eindruck unserer neuen Maschine von De'Longhi: Etwas viel Kunststoff und wenig überzeugende Haptik. Daher nur vier, statt fünf Sterne. Andererseits kann man wahrscheinlich für ca. 270 Euro auch nicht erwarten, dass das Ding aus Edelstahl besteht. Die Inbetriebnahme des Gerätes gelang jedenfalls problemlos und das Ergebnis, also der Kaffee, ist super. Sehr gut gefällt mir, dass man alle wichtigen Dinge erledigen kann, ohne das Gerät drehen zu müssen. Wasser und Kaffee auffüllen und Entsorgung der Kaffeereste ist sehr einfach zu bewerkstelligen. Mir dem Aufschäumen der Milch hab ich noch so meine Probleme aber ich denke, das benötigt nur etwas Übung und wird bei uns auch nur selten genutzt. Super finde ich, dass man die Stärke und die ausgegebene Menge des Kaffees, stufenlos regeln kann. Letztlich ist es wahrscheinlich wichtiger, die richtige Kaffeesorte auszuwählen, als 1000 Euro für das Equipment auszugeben. Ähnlich wie beim Grillen, kommt es auf das Fleisch an und nicht so sehr auf den Grill.","['durability', 'usablity', 'not usability', 'not durability']","[0.27344876527786255, 0.24575787782669067, 0.24132396280765533, 0.23946943879127502]"
8,"Avevamo il modello precedente che non ha mai dato problemi, questa è stata una pena:La prima è arrivata con un guasto alla scheda non si accendevaSostituita, dopo 6-7 mesi si è guastata la scheda anche in questa e ha iniziato a fare il caffè quando voleva lei (di notte di solito) per cui dovevamo sempre staccare la spinaMandata in riparazione hanno deciso di sostituirlaLa terza è arrivata e anche questa ha un problema alla scheda, si accende, lampeggia un pò poi si spegneFortunatamente il servizio clienti amazon è sempre al top e abbiamo fatto un reso.Pessima esperienza!","['durability', 'not usability', 'not durability', 'usablity']","[0.366233766078949, 0.259511798620224, 0.24321502447128296, 0.1310393512248993]"
9,"Acheté suite à une panne d'une machine a café marque Jura dont le prix est le triple de celle ci, je peux dire qu'il n'y a aucune différence entre les deux machine mis à part peut être le bruit du nettoyage car jura est plus silencieuse que delonghi. Le point fort de DeLonghi c'est qu'on peux régler facilement et précisément le broyeur des graines du café pour avoir un café plus concentré et avec plus de goût je trouve.Franchement je suis satisfait du produit pourvu que ça dure, et qu'il n'y aurait pas de panne dans l'avenir surtout au niveau de la platine de commande car c'était ça mon problème avec la machine Jura dont seulement le prix de la plaque est presque le prix de cette machine DeLonghi.Voili voila mon constat pour le moment.","['durability', 'usablity', 'not durability', 'not usability']","[0.37351104617118835, 0.30877116322517395, 0.17185218632221222, 0.14586561918258667]"
