,sequence,labels,scores
0,is this machine suitable for single cup with lowest amount of milk,"['usability', 'video', 'not usability']","[0.9152172803878784, 0.051183152943849564, 0.033599596470594406]"
1,i have this machine for 6 month now and it absolutely fantastic with no issue good to make a single glass of latte small and compact machine,"['usability', 'video', 'not usability']","[0.9645398855209351, 0.028902487829327583, 0.006557623390108347]"
2,thanks for sharing noticed you left a similar comment on our latissima one review is it that machine you have or this one or both,"['video', 'usability', 'not usability']","[0.4037837088108063, 0.39909058809280396, 0.19712570309638977]"
3,thanks for the informative review i like really hot milk coffee drink which nespresso machine do you recommend for me,"['usability', 'video', 'not usability']","[0.5295574069023132, 0.31301650404930115, 0.15742608904838562]"
4,hi there i also like my milk to be hot and have been happy with the nespresso creatista machine i have owned a you can adjust the milk temperature on them and the hottest setting ha been fine for me especially the crestista plus and creatista pro hope this help,"['usability', 'video', 'not usability']","[0.847573459148407, 0.09408532083034515, 0.05834125727415085]"
5,is it hot enough i realy like my drink to be very hot i bought one from soul and soul and the temp is a joke,"['usability', 'not usability', 'video']","[0.4811311960220337, 0.4556402564048767, 0.063228540122509]"
6,a2b production thank you so much definitely will check that out,"['video', 'usability', 'not usability']","[0.5937032103538513, 0.3416016399860382, 0.06469506770372391]"
7,for a milk based coffee the creatista machine are much better for temperature i struggle to hold the recipe glass when it is on the hotter setting i am not sure the temperature of the actual espresso will be much different though on that note the creatista plus i owned brewed a hotter espresso than the creatista pro doe hope this help and we have review of the creatista machine and a playlist of them on the channel in case you fancy watching those,"['usability', 'video', 'not usability']","[0.6782733798027039, 0.230136439204216, 0.09159013628959656]"
8,a2b production whats the other option pls,"['video', 'not usability', 'usability']","[0.5107611417770386, 0.2617070972919464, 0.2275318205356598]"
9,yeah it is not very hot is it drinkable but if you like it really hot then there are better option available,"['not usability', 'usability', 'video']","[0.617107093334198, 0.2728979289531708, 0.10999497026205063]"
10,after descaling when i put the milk frother on it drain all the milk help any one know what is wrong,"['usability', 'video', 'not usability']","[0.6333748698234558, 0.29041558504104614, 0.07620957493782043]"
11,hey thanks for this video i am still really confused i enjoy having a cup of latte everyday i really do not get the perfect machine for my own use what is your advice,"['video', 'not usability', 'usability']","[0.7804158329963684, 0.1410575807094574, 0.0785265788435936]"
12,a2b production thanks a lot,"['video', 'usability', 'not usability']","[0.6260706782341003, 0.28891658782958984, 0.0850127711892128]"
13,hi there thanks and glad you liked it personally i like the creatista a a nespresso machine for latte a you can control the milk froth and heat a lot more we have some review on the channel if you want to explore those more and also a creatista playlist,"['video', 'usability', 'not usability']","[0.5736107230186462, 0.3885928988456726, 0.037796393036842346]"
14,the milk container to functioning what is the problem please,"['usability', 'not usability', 'video']","[0.5916248559951782, 0.28106170892715454, 0.12731343507766724]"
15,can you use any coffee pod to make say a latte a they got measurement on also what are the number for,"['usability', 'video', 'not usability']","[0.8266471028327942, 0.14114679396152496, 0.03220607712864876]"
16,hi there we do have video on the channel that explain the cup size and also how to find the best nespresso pod for you in case they help personally for a latte i like to use two pod of 40ml espresso with milk but the nespresso site say you can also make it with 1 lungo pod 110ml with a similar amount of milk,"['video', 'usability', 'not usability']","[0.9466009736061096, 0.04643465206027031, 0.006964315660297871]"
17,just got gifted this machine first use too much milk froth not much coffee milk straight from refrigerator therefore coffee is lukewarm will require trial and error to achieve the perfect cup of coffee i am australian we like our coffee hot with a little bit of froth not most of the bloody mug my old machine wa a lattisima en560b which served me well for 10 year of daily use many of the design flaw in that model have been solved with this model the milk container is much easier to clean and different sized and different shaped mug and cup can be easily accommodated the off white colour would not have been my choice white in a kitchen is not great i would have chosen the black colour but this wa a gift so it is what it is,"['usability', 'not usability', 'video']","[0.5934247970581055, 0.3073175847530365, 0.09925767034292221]"
18,yeah heat is the most common issue i hear from subscriber with the lattissimas mainly the milk froth heat i like you also find the froth too airy we have a creatista machine now and solves both those issue thanks for sharing your thought,"['usability', 'video', 'not usability']","[0.41359493136405945, 0.34751859307289124, 0.2388865053653717]"
19,great video wish i looked at it before i bought the machine for me the coffee is way too low in temperature i like a hot coffee and this is not hot at all i virtually drink strait away other wise it cold,"['video', 'not usability', 'usability']","[0.7771823406219482, 0.16849210858345032, 0.054325636476278305]"
