series,,Dimensions (wxdxh) (mm),Weight (Kg),Rated voltage/Frequency (V~Hz),Maximum cup height (mm),Pump pressure (bar),Water tank capacity (l),Input power (W),Beans container capacity (g),Grounds container capacity (n),Energy class,Milk carafe capacity (l),Used capsule container,Cups
Delonghi All-In-One Combination coffee maker,,371x284x324,6.25,220-240 V / 50-60 Hz,,,,,,,,,,
Delonghi Clessidra,,179x295x350,2.5,120,,,1.25,1200,,,,,,10
Delonghi Dedica,,149x330x304,4.2,220-240 V / 50-60Hz,120,15,1.1,1300,,,,,,
Delonghi Dinamica,,236x429x348,9.5,220-240 V / 50-60 Hz,135,15,1.8,1450,300,14,Better than A,,,
Delonghi Eletta,,260x460x360,10.6,220-240 V / 50-60 Hz,132,15,2,1450,390,14,Better than A,,,
Delonghi Icona,,255x290x315,4.1,220-240 V / 50-60 Hz,77,15,1.4,1100,,,,,,
Delonghi La Specialista,,337.5x360x425,13,220-240 V / 50-60 Hz,130,17,2.25,1425,,,,,,
Delonghi Lattissima,,358.5x198.5x314.5,5.35,220-240 V / 50-60 Hz,,19,1.15,1425,,,,0.3325,11.5,
Delonghi Magnifica,,257.5x407.5x390,9.5,220-240 V / 50-60 Hz,123.5,15,1.8,1450,225,14,A,,,
Delonghi Perfecta,,281x425x400,11.9,220-240 V / 50-60 Hz,120,15,1.4,1275,225,14,A,,,
Delonghi Prima Donna,,250x430x410,12,220-240 V / 50-60 Hz,138.5,19,2.1,1450,375,14,Better than A,,,
Delonghi Stilosa,,205x343x285,4.3,220-240 V / 50-60 Hz,110,15,1,1100,,,,,,
Delonghi Vertuo Next,,142x429x318.5,4.35,220-240 V / 50-60 Hz,,Centrifusion Technology,1.1,1260,,,,,,
