,label,score
0,POSITIVE,0.9998611211776733
1,POSITIVE,0.9824239015579224
2,NEGATIVE,0.9637057781219482
3,NEGATIVE,0.9528269171714783
4,NEGATIVE,0.9990127086639404
5,NEGATIVE,0.9814544320106506
6,POSITIVE,0.745402455329895
7,POSITIVE,0.885819137096405
8,POSITIVE,0.9974352717399597
9,POSITIVE,0.9289259314537048
10,NEGATIVE,0.9883456230163574
11,NEGATIVE,0.9990831613540649
12,NEGATIVE,0.9982717037200928
13,NEGATIVE,0.9997484087944031
14,NEGATIVE,0.9902016520500183
15,POSITIVE,0.8567525148391724
16,NEGATIVE,0.9892414212226868
17,NEGATIVE,0.9680070877075195
18,POSITIVE,0.9933577179908752
19,POSITIVE,0.9953985810279846
20,NEGATIVE,0.9788423180580139
21,POSITIVE,0.5882578492164612
22,NEGATIVE,0.9994316697120667
23,POSITIVE,0.9852626323699951
24,POSITIVE,0.9997449517250061
25,POSITIVE,0.9998397827148438
26,POSITIVE,0.8809228539466858
27,POSITIVE,0.9994764924049377
28,NEGATIVE,0.997463583946228
29,POSITIVE,0.9998393058776855
30,POSITIVE,0.9997846484184265
31,NEGATIVE,0.9470301270484924
32,NEGATIVE,0.9116967916488647
33,POSITIVE,0.99960857629776
34,NEGATIVE,0.9947575330734253
35,NEGATIVE,0.9991764426231384
36,NEGATIVE,0.969247579574585
37,NEGATIVE,0.9938594698905945
38,NEGATIVE,0.9078211784362793
39,NEGATIVE,0.9965865612030029
40,POSITIVE,0.9662786722183228
41,POSITIVE,0.9997125267982483
42,POSITIVE,0.9993571639060974
43,POSITIVE,0.948786735534668
44,POSITIVE,0.9233770370483398
45,POSITIVE,0.8914507627487183
46,NEGATIVE,0.9599477648735046
47,POSITIVE,0.9776075482368469
48,POSITIVE,0.9972425699234009
49,NEGATIVE,0.9903653860092163
50,POSITIVE,0.9967051148414612
51,POSITIVE,0.9976018071174622
52,NEGATIVE,0.9957767128944397
53,NEGATIVE,0.958257257938385
54,POSITIVE,0.876126766204834
55,NEGATIVE,0.553530216217041
56,POSITIVE,0.9993487000465393
57,POSITIVE,0.996994137763977
58,POSITIVE,0.9997285008430481
59,NEGATIVE,0.9559893608093262
60,POSITIVE,0.9205313324928284
61,POSITIVE,0.9850513935089111
62,POSITIVE,0.9619921445846558
63,NEGATIVE,0.9945456981658936
64,POSITIVE,0.9998087286949158
65,POSITIVE,0.9993911981582642
66,NEGATIVE,0.9913455247879028
67,POSITIVE,0.9998648166656494
68,POSITIVE,0.997160792350769
69,POSITIVE,0.9953759908676147
70,POSITIVE,0.9998550415039062
71,POSITIVE,0.9998414516448975
72,POSITIVE,0.9998352527618408
73,NEGATIVE,0.9316892623901367
74,POSITIVE,0.9998352527618408
75,POSITIVE,0.9998151659965515
76,POSITIVE,0.999876856803894
77,NEGATIVE,0.6599596738815308
78,NEGATIVE,0.9906662106513977
79,POSITIVE,0.6706021428108215
80,NEGATIVE,0.9988046884536743
81,NEGATIVE,0.9988289475440979
82,NEGATIVE,0.9970566034317017
83,POSITIVE,0.9892362952232361
84,NEGATIVE,0.9948475360870361
85,POSITIVE,0.9901865720748901
86,NEGATIVE,0.9975953698158264
87,POSITIVE,0.9989032745361328
88,NEGATIVE,0.9966691136360168
89,NEGATIVE,0.9992572665214539
90,NEGATIVE,0.9797919392585754
91,POSITIVE,0.9969565868377686
92,NEGATIVE,0.5788751840591431
93,POSITIVE,0.9996676445007324
94,NEGATIVE,0.9962020516395569
95,NEGATIVE,0.9978146553039551
96,NEGATIVE,0.9947633147239685
97,NEGATIVE,0.9981461763381958
98,POSITIVE,0.9952619075775146
99,NEGATIVE,0.9949821829795837
100,NEGATIVE,0.9566136002540588
101,NEGATIVE,0.9995251893997192
102,NEGATIVE,0.9532484412193298
103,NEGATIVE,0.9968560934066772
104,NEGATIVE,0.9993602633476257
105,NEGATIVE,0.6875025629997253
106,NEGATIVE,0.9994725584983826
107,NEGATIVE,0.9973487854003906
108,NEGATIVE,0.6826621890068054
109,POSITIVE,0.9998714923858643
110,POSITIVE,0.9522197246551514
111,POSITIVE,0.9994938373565674
112,POSITIVE,0.9980233907699585
113,POSITIVE,0.6778533458709717
114,NEGATIVE,0.9833869338035583
115,POSITIVE,0.9998459815979004
116,POSITIVE,0.999081015586853
117,POSITIVE,0.9998621940612793
118,NEGATIVE,0.9961788654327393
119,POSITIVE,0.8806493878364563
120,NEGATIVE,0.9621758460998535
121,NEGATIVE,0.9967633485794067
122,NEGATIVE,0.9954808950424194
123,NEGATIVE,0.9982890486717224
124,POSITIVE,0.6870803833007812
125,NEGATIVE,0.9879377484321594
126,POSITIVE,0.5908044576644897
127,NEGATIVE,0.9974576830863953
128,NEGATIVE,0.7794216275215149
129,NEGATIVE,0.9944300055503845
130,NEGATIVE,0.9993717074394226
131,NEGATIVE,0.9959944486618042
132,NEGATIVE,0.976026713848114
133,NEGATIVE,0.9944882988929749
134,POSITIVE,0.8030914068222046
135,POSITIVE,0.9998010993003845
136,NEGATIVE,0.9830080270767212
137,POSITIVE,0.9998610019683838
138,NEGATIVE,0.9996812343597412
139,NEGATIVE,0.9918885827064514
140,POSITIVE,0.9888741970062256
141,NEGATIVE,0.997412383556366
142,NEGATIVE,0.9824605584144592
143,NEGATIVE,0.9979023933410645
144,NEGATIVE,0.9989438652992249
145,POSITIVE,0.9970552921295166
146,NEGATIVE,0.8853288888931274
147,POSITIVE,0.9998137354850769
148,POSITIVE,0.9990825653076172
149,POSITIVE,0.991733193397522
150,NEGATIVE,0.9390997290611267
