,sequence,labels,scores
0,is there an option to buy a second milk carafe we are a two type of milk household soy and oat it would be so convenient to have two carafe to change out,"['usability', 'not usability', 'video']","[0.8116413354873657, 0.11357159912586212, 0.07478705793619156]"
1,hello great idea unfortunately we do not sell separate carafe for the dinamica you should be able to get one directly from delonghi if you contact them aj,"['not usability', 'usability', 'video']","[0.43796399235725403, 0.41867759823799133, 0.14335837960243225]"
2,came here from james hoffman comparison vid,"['video', 'usability', 'not usability']","[0.9506905674934387, 0.0441703274846077, 0.0051391213200986385]"
3,nice thanks for watching aj,"['video', 'usability', 'not usability']","[0.7524667978286743, 0.22891908884048462, 0.01861412264406681]"
4,hello there i just bought a new ecam 350 55 b wa browsing through the internet for some video on the usage and diff drink that we can make with this machine want to know more on how can make americano and a flat white can you pls send me a link of any video that you have already made on americano and flat white made with dinamica ecam 350 55 b if not if you can please let me know thanks a lot rajesh new to your channel just subscribed today,"['video', 'usability', 'not usability']","[0.8440443873405457, 0.11837325245141983, 0.03758234158158302]"
5,hi rajesh welcome and thanks for subscribing there is no one touch americano function on the ecam 350 55 b you would have to prepare an americano in two step first brew a shot of espresso into your cup then move your cup over and with the hot water attachment inserted dispense hot water into the cup on top of the espresso i believe that model ha a build in flat white preset if you go into the drink menu i recomment turning the froth dial down to the minimum froth when preparing a flat white aj,"['usability', 'video', 'not usability']","[0.7158582210540771, 0.17052914202213287, 0.11361262947320938]"
6,your not supposed to adjust the grinder when the grinder is idle teaching is the wrong way plus the grind doe not kick in for at least 2 cup of coffee how doe the my coffee setting get saved for the next time,"['not usability', 'usability', 'video']","[0.5190489292144775, 0.4302445650100708, 0.05070650950074196]"
7,hi fay it is generally okay to adjust courser without the grinder running you are correct that it should be running while going finer a there are some ground stuck between the burr that will make it harder to bring them closer together and could cause damage there are option in the setting menu for prg beverage and prg my beverage that allow you to program setting for each drink and save them for future preparation here is a video from delonghi on the process aj,"['video', 'usability', 'not usability']","[0.8464754819869995, 0.1274033486843109, 0.026121117174625397]"
8,which model number is this unit,"['usability', 'video', 'not usability']","[0.6548522710800171, 0.20258575677871704, 0.14256198704242706]"
9,whole latte love thanks,"['usability', 'video', 'not usability']","[0.5108118653297424, 0.4119813144207001, 0.07720685750246048]"
10,this video show model ecam35075si i am currently working on a new video showing the dinamica plus model ecam37095ti aj,"['video', 'usability', 'not usability']","[0.9590515494346619, 0.03224862366914749, 0.008699828758835793]"
11,how do you change the heat setting,"['usability', 'video', 'not usability']","[0.8518985509872437, 0.1210080236196518, 0.027093438431620598]"
12,press the setting button the icon with the gear general temperature then select low medium high or maximum aj,"['usability', 'video', 'not usability']","[0.7564225196838379, 0.19266141951084137, 0.05091599002480507]"
