,label,score
0,NEGATIVE,0.9995456337928772
1,NEGATIVE,0.9732312560081482
2,POSITIVE,0.9991942048072815
3,POSITIVE,0.642646074295044
4,NEGATIVE,0.9979938268661499
5,NEGATIVE,0.993999719619751
6,NEGATIVE,0.9991876482963562
7,NEGATIVE,0.9475369453430176
8,POSITIVE,0.9831589460372925
9,POSITIVE,0.9971727132797241
10,NEGATIVE,0.9985198378562927
11,NEGATIVE,0.8820409178733826
12,POSITIVE,0.9997199177742004
13,POSITIVE,0.9992954730987549
14,POSITIVE,0.9978694915771484
15,NEGATIVE,0.9978485107421875
16,POSITIVE,0.9997841715812683
17,NEGATIVE,0.9983953833580017
18,NEGATIVE,0.9898808002471924
19,NEGATIVE,0.997381865978241
20,NEGATIVE,0.9981589913368225
21,NEGATIVE,0.9933788776397705
22,NEGATIVE,0.994461715221405
23,POSITIVE,0.9413897395133972
24,NEGATIVE,0.9834165573120117
25,NEGATIVE,0.9974287152290344
26,NEGATIVE,0.9909119606018066
27,NEGATIVE,0.9985673427581787
28,NEGATIVE,0.7645075917243958
29,POSITIVE,0.9989374279975891
30,NEGATIVE,0.9053747057914734
31,POSITIVE,0.967734158039093
32,NEGATIVE,0.9848435521125793
33,NEGATIVE,0.9984982013702393
34,NEGATIVE,0.9974156618118286
35,POSITIVE,0.9998418092727661
36,NEGATIVE,0.9965174198150635
37,POSITIVE,0.9995429515838623
38,NEGATIVE,0.9992048144340515
39,NEGATIVE,0.9785001277923584
40,NEGATIVE,0.9996688365936279
41,NEGATIVE,0.9811354279518127
42,NEGATIVE,0.9902305006980896
43,NEGATIVE,0.9578109383583069
44,POSITIVE,0.9979768395423889
45,POSITIVE,0.9921402335166931
46,NEGATIVE,0.9822297096252441
47,POSITIVE,0.9496839046478271
48,NEGATIVE,0.9983674883842468
49,POSITIVE,0.9855533242225647
50,NEGATIVE,0.9984707236289978
51,POSITIVE,0.9998226761817932
52,NEGATIVE,0.994864284992218
53,POSITIVE,0.9767740964889526
54,NEGATIVE,0.9992239475250244
55,NEGATIVE,0.9951639175415039
56,NEGATIVE,0.9927997589111328
57,NEGATIVE,0.9989797472953796
