,sequence,labels,scores
0,my steam function stopped working after the second day is there something i am doing wrong someone help me out,"['not usability', 'usability', 'video']","[0.5530556440353394, 0.36942827701568604, 0.077516108751297]"
1,i think this guy is very very strong man look at those about to be broken machine,"['not usability', 'video', 'usability']","[0.3984972834587097, 0.3447854816913605, 0.2567172348499298]"
2,lol marc aka very strong man,"['video', 'usability', 'not usability']","[0.5872136950492859, 0.2235971838235855, 0.1891891211271286]"
3,why doe my medium roast fine grounded coffee dows not have a strong espresso taste it taste like the one i make for drip coffee sorry im new anyone know please help,"['usability', 'not usability', 'video']","[0.47868645191192627, 0.4285736382007599, 0.09273989498615265]"
4,hi u most likely is your grind is not fine enough if using pre ground coffee be sure it is ground for espresso marc,"['not usability', 'usability', 'video']","[0.44798505306243896, 0.4393136501312256, 0.11270135641098022]"
5,wat a deelicious cappuccino mark,"['usability', 'video', 'not usability']","[0.6523664593696594, 0.2628559470176697, 0.08477766066789627]"
6,hey jade thanks for the comment marc,"['usability', 'video', 'not usability']","[0.48326149582862854, 0.31855350732803345, 0.1981850564479828]"
7,can you use the steamer without making espresso,"['usability', 'not usability', 'video']","[0.9453160762786865, 0.029427314177155495, 0.0252565648406744]"
8,hi melissa thanks for the question yes you can marc,"['video', 'usability', 'not usability']","[0.483350932598114, 0.3846646249294281, 0.1319844126701355]"
9,i have this machine it is ok but not great not getting enough creama i have read somewhere that the mild wand should be replaced with rancilio silvia steam wand and the portafilter with a better one are these modification possible and what size is the portafilter,"['usability', 'not usability', 'video']","[0.7542317509651184, 0.16586127877235413, 0.0799069032073021]"
10,hi k thanks for the question this delonghi is what i consider and entry level appliance grade product while you could make modification understand it is a pressurized filter basket espresso maker that limit potential quality might be better to consider an entry level machine grade product with commercial size weight non pressurized portafilter and commercial wand like the gaggia classic pro marc,"['usability', 'not usability', 'video']","[0.5743967890739441, 0.2887658178806305, 0.1368374526500702]"
11,i am waiting for this machine to be delivered i am pretty sure i will not be using a pad,"['not usability', 'usability', 'video']","[0.597159206867218, 0.27460214495658875, 0.12823860347270966]"
12,hi bk congrats on the new machine while some are okay with espresso quality from ese pod i would at least go with pre ground and whole bean ground fresh if at all possible marc,"['not usability', 'usability', 'video']","[0.47703421115875244, 0.40138569474220276, 0.12158007174730301]"
13,this machine suck trust me,"['not usability', 'video', 'usability']","[0.8826771974563599, 0.06061121076345444, 0.0567115843296051]"
14,hi ocq thanks for the comment sharing your opinion i think it is better to consider this an appliance and not a machine it is a case of you get what you pay for stepping up to a true entry level machine cost more,"['not usability', 'usability', 'video']","[0.6730324029922485, 0.2642427086830139, 0.06272488832473755]"
15,another pod machine want a real coffee machine,"['usability', 'not usability', 'video']","[0.5272361636161804, 0.35762912034988403, 0.11513473838567734]"
16,hi vicky here is a link to real prosumer level espresso machine marc,"['usability', 'video', 'not usability']","[0.7234674692153931, 0.19256427884101868, 0.08396817743778229]"
17,look good going try it now but with proper coffe bean,"['usability', 'video', 'not usability']","[0.6886231899261475, 0.294416606426239, 0.016960227862000465]"
18,hope you enjoy marc,"['video', 'usability', 'not usability']","[0.7761479616165161, 0.15317264199256897, 0.07067938894033432]"
19,i have this machine and after practicing a while i get decent expresso with fresh coffee the beam produce decent latte and cappuccino a good machine for starter,"['usability', 'video', 'not usability']","[0.9179322123527527, 0.06411247700452805, 0.01795531064271927]"
20,hi jose thanks for sharing your experience marc,"['video', 'usability', 'not usability']","[0.492303729057312, 0.42931365966796875, 0.07838262617588043]"
21,got it unused for around 1 year so do you know how to clean descale it for using it again please help,"['usability', 'not usability', 'video']","[0.5313509106636047, 0.41768285632133484, 0.050966255366802216]"
22,hi cn thanks for the question here is a link to the manual for the icona descaling instruction on page 12 hope that help marc,"['usability', 'video', 'not usability']","[0.6723434925079346, 0.22425810992717743, 0.103398397564888]"
23,very help thanks a lot,"['usability', 'video', 'not usability']","[0.6767783761024475, 0.2792050242424011, 0.04401658475399017]"
24,you are welcome marc,"['video', 'usability', 'not usability']","[0.46586886048316956, 0.437604695558548, 0.09652648866176605]"
25,hi thanks for the video ive just bought a delonghi icona vintage machine and i wanted to ask can you get more cream from the espresso i usually get little from coffe bean and im still learning how to make a good coffe too,"['video', 'usability', 'not usability']","[0.9184316992759705, 0.0681634321808815, 0.013404828496277332]"
26,whole latte love hi again i wanted to reply you through here to ask you something i recently saw that you have a huge amount of video i want to upgrade my machine and i wanted to know if you could give me some tip on which machine to choose to get a good espresso thanks in advance,"['video', 'usability', 'not usability']","[0.9311651587486267, 0.051007747650146484, 0.017827022820711136]"
27,whole latte love o,"['video', 'usability', 'not usability']","[0.5116283893585205, 0.4122677445411682, 0.0761038288474083]"
28,whole latte love i ve just searched icona vintage coffee cream and that wa what i asking thank you,"['usability', 'video', 'not usability']","[0.5868608951568604, 0.35620126128196716, 0.05693785101175308]"
29,whole latte love thanks for the tip,"['usability', 'video', 'not usability']","[0.5644935369491577, 0.365467369556427, 0.07003911584615707]"
30,hi daniel the icona us a pressurized filter basket these do not produce at the same level a standard non pressurized filter basket crema from a pressurized basket is faked to some extent a liquid from the extraction is squeezed through a single tiny hole bubble pseudo crema form on the other side of the restriction do to release of pressure it is very different than crema formed in non pressurized filter basket which ha hundred of hole and it is the grind size of the coffee causing pressure to build during an extraction that said you may improve espresso and crema by using a different coffee or working with grind size if you are grinding whole bean fresh for brewing if lacking crema in your extraction and you have the option try grinding your coffee finers also use a coffee that is a known easy crema producer italian style bean blend which contain some robusta bean in the mix are good at that hope that help marc,"['usability', 'not usability', 'video']","[0.598596453666687, 0.29524651169776917, 0.10615707188844681]"
31,best coffee,"['usability', 'video', 'not usability']","[0.5716807842254639, 0.3059212267398834, 0.1223980039358139]"
32,can i use 51mm tamper with this machine,"['usability', 'video', 'not usability']","[0.69178307056427, 0.20743948221206665, 0.10077739506959915]"
33,thanks for replying i actually bought the modified basket which is non pressurized i got better extraction from those basket but built in tamper made it difficult to tamp with consistent force so which measurement is the best for this machine,"['usability', 'not usability', 'video']","[0.6219407916069031, 0.20805272459983826, 0.17000646889209747]"
34,hi thanks for the question delonghi list the pf size a 49mm the icona doe have a built in tamper i will also advise tamping is not critical on machine using a pressurized filter basket brewing system like the icona it is more for settling the ground in the filter basket tamping ha little if any affect on extraction with this type of machine marc,"['usability', 'video', 'not usability']","[0.6605296730995178, 0.17986799776554108, 0.1596022993326187]"
35,wakala,"['video', 'usability', 'not usability']","[0.49596306681632996, 0.39372754096984863, 0.11030939966440201]"
36,lazy bum how hard do you think it is to grind som effing bean i grind my bean in 30 sec and it smell gud,"['usability', 'not usability', 'video']","[0.4859481453895569, 0.3273064196109772, 0.18674543499946594]"
37,lol hi tb we grind all the bean check out this grinder,"['usability', 'video', 'not usability']","[0.5931515097618103, 0.38687655329704285, 0.019971931353211403]"
