,Delonghi Dedica,Delonghi Dinamica,Delonghi Eletta,Delonghi La Specialista,Delonghi Lattissima,Delonghi Magnifica,Delonghi Stilosa
Volume (m^3),-0.410958904,-0.35483871,-0.161290323,-0.428571429,-0.533333333,-0.125,-0.688888889
,-0.135397107,0.170587803,1.225874345,-0.231426117,-0.802620896,1.423740571,-1.650758598
Weight (Kg),-0.46184739,-0.714285714,-0.375,-0.692307692,-0.45,-0.709090909,-0.424
,0.606722484,-1.199409744,1.228093543,-1.042162568,0.691487553,-1.16224223,0.877510963
Maximum cup height (mm),-0.412121212,-0.452631579,-0.58490566,-0.434782609,-0.455696203,-0.538461538,-0.296482412
Pump pressure (bar),-0.459074733,-1,-0.714285714,-0.649122807,-0.2,-0.777777778,-0.592592593
Water tank capacity (l),-0.614379085,-0.631578947,-0.807692308,-0.6,-0.646017699,-0.637931034,-0.630136986
Input power (W),-0.325966851,-0.714285714,-0.5,-0.6,-0.333333333,-0.583333333,-0.607843137
,,,,,,,
,,,,,,,
,avg,stdev,,,,,
volume,-0.386125941,0.183408372,,,,,
weight,-0.546647386,0.139767355,,,,,
