,normalised,avg,stdev,score
Delonghi Dedica,0.112314413,-0.28858763,0.152954392,-0.271408647
Delonghi Dinamica,0.266644624,,,-0.247803163
Delonghi Eletta,1.236389405,,,-0.09947644
Delonghi Icona,-0.910632436,,,-0.427872861
Delonghi La Specialista,0.70063551,,,-0.181422351
Delonghi Lattissima,0.87298753,,,-0.155060353
Delonghi Magnifica,0.477098081,,,-0.215613383
Delonghi Perfecta,-1.871555732,,,-0.574850299
Delonghi Prima Donna,-1.487027291,,,-0.516034985
Delonghi Stilosa,0.603145897,,,-0.196333816
