,sequence,labels,scores
0,barista pro la specialista prestigio a an amazon associate i earn from qualifying purchase,"['usability', 'video', 'not usability']","[0.46358758211135864, 0.32244279980659485, 0.21396960318088531]"
1,this is not a review it a breville add lol,"['not usability', 'video', 'usability']","[0.5743343234062195, 0.22205525636672974, 0.20361042022705078]"
2,nope expressed pro and con for both,"['not usability', 'video', 'usability']","[0.5699640512466431, 0.2206200659275055, 0.20941591262817383]"
3,this is an amazing comparison you lay everything out so clearly and also give the way the difference affect the end result i love the feature on the delonghi and also the classic look but breville doe seem to be the superior machine here awesome job,"['video', 'usability', 'not usability']","[0.5062155723571777, 0.463638037443161, 0.030146442353725433]"
4,thanks jonny glad it wa helpful,"['usability', 'video', 'not usability']","[0.7076865434646606, 0.26490575075149536, 0.02740769274532795]"
5,in france you would pay up to 850euros dollar923 for the prestigio in this price range it is unacceptable to have an imprecise grinder also i though it wa all metal before i watched this video covering plastic with fake chrome paint is so cheap i can not help but despising them for such a low blow how can you trust a brand after this btw in this price range you can buy a second hand mignon grinder and a brand new la pavoni or full metal lelit pl41 no brainer thanks for this excellent video,"['video', 'not usability', 'usability']","[0.622755229473114, 0.22756564617156982, 0.14967916905879974]"
6,i agree with many of your thought on these machine i hate plastic chrome it make the unit feel cheap like i do not however agree with you that the onboard tamp is a positive channeling is a killer for me this addition just add to my work flow very surprised with the number negative for me with the delonghi thanks for the review cheer from canader eh,"['not usability', 'usability', 'video']","[0.4898638427257538, 0.40648090839385986, 0.10365527868270874]"
7,breville is better then specialista,"['usability', 'video', 'not usability']","[0.5103160738945007, 0.24764640629291534, 0.2420375496149063]"
8,yes that wa the outcome of this video,"['video', 'usability', 'not usability']","[0.9482370615005493, 0.04096822440624237, 0.010794715955853462]"
9,thank you very much it is so helpful,"['usability', 'video', 'not usability']","[0.6951903700828552, 0.2603016495704651, 0.044507987797260284]"
10,i could not agree with u more,"['usability', 'video', 'not usability']","[0.5344276428222656, 0.28684914112091064, 0.17872323095798492]"
11,to the lucky folk who own either of these beauty could someone confirm for me if you can hook up a water line these guy really do not feel like filling up water on a weekly basis,"['usability', 'video', 'not usability']","[0.711879551410675, 0.18145903944969177, 0.10666137933731079]"
12,lifestyle lab thanks for the quick response mean a lot a i try to find the system that fit our need,"['video', 'usability', 'not usability']","[0.4646119475364685, 0.30589234828948975, 0.22949573397636414]"
13,ecm la speciale rocket the model page will tell you if they are plumbable or not i believe the lelit bianca is plumable a well,"['usability', 'video', 'not usability']","[0.7476904392242432, 0.16243763267993927, 0.08987189829349518]"
14,lifestyle lab any brand you would recommend,"['usability', 'video', 'not usability']","[0.426937997341156, 0.3040809631347656, 0.268981009721756]"
15,no neither of these can be plumed in unfortunately you have to go well upmarket to find machine that can be plumbed in,"['not usability', 'usability', 'video']","[0.8953210711479187, 0.07147552073001862, 0.033203404396772385]"
16,i think that breville should stick with toaster and leave the coffee machine to the professional,"['not usability', 'usability', 'video']","[0.44383731484413147, 0.43914762139320374, 0.11701501905918121]"
17,and yet they beat the italian here,"['video', 'usability', 'not usability']","[0.6241294145584106, 0.24935361742973328, 0.1265169233083725]"
